step,lr,total_its,embed_norm,grad_bb,grad_pfc,p16,p32,p64
920,0.00001965,166.97,16.7065,24.4562,18.1856,57697,4581,442
930,0.00001986,159.72,16.7368,25.6931,17.7382,56936,5135,650
940,0.00002007,169.26,16.8732,22.9231,16.9367,56989,5136,595
950,0.00002029,155.55,16.9372,23.6535,17.0536,56910,5104,706
960,0.00002050,157.06,16.9453,23.6659,17.1431,57784,4472,464
970,0.00002071,168.65,17.0474,24.6483,17.7997,57880,4373,467
980,0.00002093,166.94,17.1169,23.4124,17.6513,57128,4972,620
990,0.00002114,164.22,17.2088,23.6144,17.4634,57221,4933,566
1000,0.00002135,162.91,17.2946,23.3395,17.6787,57343,4801,576
1010,0.00002157,166.41,17.3965,22.3253,17.0511,57289,4864,566
1020,0.00002178,168.47,17.4885,24.0184,18.1628,56970,5129,621
1030,0.00002199,164.99,17.5627,23.8472,17.9293,57527,4726,467
1040,0.00002221,175.10,17.6328,22.3047,17.9660,57369,4810,542
1050,0.00002242,174.30,17.6757,23.1052,17.8092,57263,4924,534
1060,0.00002263,165.91,17.7173,22.1772,18.2643,57948,4324,448
1070,0.00002285,162.29,17.7964,23.5563,17.7440,57513,4714,493
1080,0.00002306,159.54,17.8440,23.8755,17.8962,57222,4927,571
1090,0.00002327,171.48,17.9621,23.0528,17.4769,57460,4696,564
1100,0.00002349,170.73,18.1007,21.6897,17.4051,57475,4748,497
1110,0.00002370,159.58,18.1912,22.5891,17.3139,57338,4832,549
1120,0.00002391,169.84,18.2640,21.1668,17.6438,57603,4587,530
1130,0.00002413,176.78,18.3340,22.4191,17.5783,56755,5260,705
1140,0.00002434,174.49,18.3859,22.4459,18.1140,57270,4864,586
1150,0.00002455,172.47,18.4261,21.1695,18.1234,57144,4910,666
1160,0.00002477,181.44,18.4646,22.3024,17.2853,57373,4765,582
1170,0.00002498,173.65,18.4982,22.2398,17.2145,57512,4701,507
1180,0.00002519,162.76,18.5802,22.1432,17.5189,57706,4568,446
1190,0.00002541,172.99,18.6430,22.8868,17.8673,57489,4729,502
1200,0.00002562,171.60,18.7296,21.5362,17.5269,57704,4547,470
1210,0.00002583,171.08,18.8509,21.3796,17.0318,57228,4918,574
1220,0.00002605,166.24,19.0047,22.8563,17.8398,57393,4726,600
1230,0.00002626,162.37,19.0633,22.0257,17.5577,57826,4447,447
1240,0.00002647,171.59,19.1986,23.4651,18.8868,57647,4589,484
1250,0.00002669,160.50,19.2255,20.5714,17.7743,57162,5019,539
1260,0.00002690,169.09,19.3170,22.2144,17.6700,57242,4882,596
1270,0.00002711,165.65,19.3248,21.1651,17.4776,56623,5353,744
1280,0.00002733,171.98,19.4012,20.4545,18.3607,57413,4774,532
1290,0.00002754,176.15,19.4395,21.1320,18.4578,57210,4920,590
1300,0.00002775,172.15,19.5158,20.1816,17.8119,57839,4492,389
1310,0.00002797,168.46,19.6501,21.3655,17.6853,57320,4839,561
1320,0.00002818,170.68,19.7344,21.9110,17.4413,57287,4888,545
1330,0.00002839,173.93,19.8223,20.4428,18.3828,57640,4563,517
1340,0.00002861,167.42,19.9246,20.8401,18.0144,58034,4286,400
1350,0.00002882,171.93,20.0052,19.8908,17.5382,57371,4800,549
1360,0.00002903,172.84,20.1256,21.7971,17.8218,57636,4626,459
1370,0.00002925,173.03,20.1809,19.4218,17.8198,57086,4989,645
1380,0.00002946,171.73,20.2615,21.7170,17.8421,57528,4652,540
