step,lr,total_its,embed_norm,grad_bb,grad_pfc,p16,p32,p64
920,0.00001965,200.37,15.9180,13.0042,18.4594,57552,4739,430
930,0.00001986,186.86,15.9953,12.1795,18.2024,57459,4765,497
940,0.00002007,189.52,16.0399,13.0556,18.0995,57876,4414,430
950,0.00002029,191.91,16.0548,11.9982,16.9891,57397,4818,505
960,0.00002050,187.73,16.1207,12.3303,18.3754,57386,4742,592
970,0.00002071,173.69,16.1826,12.7203,17.3152,57754,4511,454
980,0.00002093,190.99,16.3208,12.5418,17.8915,57661,4566,492
990,0.00002114,188.76,16.4122,13.6215,18.0191,57490,4665,566
1000,0.00002135,186.92,16.4788,13.1773,16.6979,57358,4861,501
1010,0.00002157,197.35,16.5925,12.2498,16.7503,57852,4383,485
1020,0.00002178,204.84,16.6595,12.6363,17.8380,57733,4538,448
1030,0.00002199,210.83,16.7504,12.4706,18.1209,57267,4902,550
1040,0.00002221,189.52,16.8384,13.3624,17.8190,57434,4812,474
1050,0.00002242,180.22,16.9042,12.2841,17.3315,57171,4962,587
1060,0.00002263,185.65,16.9507,12.2008,17.7611,57429,4724,567
1070,0.00002285,199.79,17.0344,11.8111,18.0220,57580,4621,519
1080,0.00002306,181.93,17.1768,12.8547,17.2148,57321,4796,603
1090,0.00002327,194.54,17.2895,12.5685,17.9157,57675,4549,496
1100,0.00002349,206.99,17.4343,11.6859,17.9222,57094,5052,574
1110,0.00002370,200.74,17.5006,11.7312,17.6530,57433,4756,531
1120,0.00002391,186.96,17.5399,13.2766,17.2132,57284,4852,585
1130,0.00002413,193.51,17.7006,11.6168,17.9926,57336,4854,530
1140,0.00002434,208.13,17.7653,12.2450,16.6721,57360,4824,536
1150,0.00002455,200.23,17.8257,12.2465,17.8278,56984,5055,681
1160,0.00002477,177.55,18.0214,11.4598,17.7287,57662,4544,514
1170,0.00002498,187.47,18.1436,11.5783,18.0773,57251,4966,503
1180,0.00002519,180.42,18.1854,11.7226,18.1954,57763,4544,412
1190,0.00002541,178.81,18.2359,12.1927,17.5342,57482,4773,465
1200,0.00002562,197.75,18.3427,11.6397,17.7844,57628,4537,555
1210,0.00002583,191.70,18.4342,11.5021,17.1249,57671,4594,456
1220,0.00002605,197.96,18.5443,12.2904,17.8889,57862,4441,417
1230,0.00002626,173.74,18.6341,11.3653,17.6501,57591,4633,496
1240,0.00002647,189.86,18.6262,11.3542,17.8105,57137,4939,643
1250,0.00002669,217.86,18.7734,10.9037,16.8891,57680,4619,422
1260,0.00002690,188.20,18.9316,11.6520,17.8226,57015,5061,644
1270,0.00002711,196.20,19.0389,11.2276,17.5197,57713,4546,461
1280,0.00002733,186.70,19.1185,10.9580,16.7800,57724,4534,462
1290,0.00002754,185.82,19.2717,11.3559,17.2377,57502,4770,448
1300,0.00002775,200.49,19.3614,11.4644,18.3295,57550,4641,529
1310,0.00002797,184.21,19.4246,11.5170,17.3988,57196,4971,553
1320,0.00002818,195.63,19.5732,10.7469,17.4200,57256,4820,645
1330,0.00002839,203.21,19.7040,10.9486,18.8080,57341,4841,538
1340,0.00002861,182.52,19.7966,10.8363,18.3854,57388,4822,510
1350,0.00002882,188.80,19.9194,11.0562,18.0273,57532,4652,536
1360,0.00002903,194.60,20.0705,10.1083,16.7657,57675,4572,473
1370,0.00002925,201.54,20.2050,10.1215,18.3197,57544,4694,482
1380,0.00002946,196.47,20.1891,9.9982,16.9519,56861,5175,684
1390,0.00002967,164.57,20.2414,10.5993,18.8995,57676,4598,447
1400,0.00002989,189.63,20.3857,10.7868,18.6228,57470,4726,524
1410,0.00003010,205.40,20.5541,9.9852,17.1238,57372,4754,594
1420,0.00003031,187.46,20.6121,10.4479,18.4551,57568,4615,537
1430,0.00003053,198.55,20.6680,10.2873,18.3186,57123,4930,666
1440,0.00003074,198.84,20.8652,10.4110,16.6957,57292,4845,583
1450,0.00003095,177.00,21.0419,10.3818,17.4720,57215,4947,558
1460,0.00003117,222.08,21.1378,9.6260,17.8946,57228,4916,576
1470,0.00003138,184.25,21.1474,9.9818,17.6839,57309,4888,523
1480,0.00003159,176.84,21.2058,10.2161,19.2866,57418,4735,567
1490,0.00003181,184.23,21.3665,9.9681,17.6667,57601,4642,476
1500,0.00003202,189.54,21.5494,9.7477,17.3608,57197,4917,605
1510,0.00003223,203.93,21.6910,9.9047,17.3590,57342,4847,531
1520,0.00003245,203.00,21.8056,9.7693,16.9963,57388,4789,544
1530,0.00003266,197.99,21.8339,9.3809,16.8968,57162,4953,606
1540,0.00003287,203.70,21.9522,9.7639,18.6420,57297,4852,571
1550,0.00003309,203.70,22.0797,9.8626,17.7427,57034,5046,640
1560,0.00003330,204.64,22.1659,9.9471,17.1622,57399,4746,575
1570,0.00003351,202.59,22.2615,9.9860,18.0049,57712,4567,441
1580,0.00003373,198.06,22.3972,9.3531,17.6383,57114,5006,600
1590,0.00003394,173.28,22.5039,9.6811,17.9697,57348,4798,574
1600,0.00003415,184.79,22.6387,10.4547,17.6285,57863,4383,474
1610,0.00003437,214.03,22.7722,9.8466,18.2507,57476,4695,549
1620,0.00003458,207.07,22.7682,9.4923,16.8176,57244,4843,633
1630,0.00003479,214.90,22.9614,9.6396,16.8343,57600,4572,548
