step,lr,total_its
2550,0.00005442,479.38
2560,0.00005463,491.93
2570,0.00005485,491.92
2580,0.00005506,490.60
2590,0.00005527,490.76
2600,0.00005549,475.33
2610,0.00005570,480.23
2620,0.00005591,454.87
2630,0.00005613,489.07
2640,0.00005634,486.63
2650,0.00005655,486.35
2660,0.00005677,489.41
2670,0.00005698,478.01
2680,0.00005719,475.38
2690,0.00005741,492.61
2700,0.00005762,490.30
2710,0.00005783,468.99
2720,0.00005805,488.58
2730,0.00005826,495.67
2740,0.00005847,478.72
2750,0.00005869,485.20
2760,0.00005890,501.75
2770,0.00005911,323.52
2780,0.00005933,449.71
2790,0.00005954,508.48
2800,0.00005975,475.28
2810,0.00005997,492.14
2820,0.00006018,488.32
2830,0.00006039,488.63
2840,0.00006061,450.33
2850,0.00006082,471.24
2860,0.00006103,461.80
2870,0.00006125,412.53
2880,0.00006146,484.41
2890,0.00006167,391.48
2900,0.00006189,336.67
2910,0.00006210,376.66
2920,0.00006231,487.32
2930,0.00006253,503.48
2940,0.00006274,499.64
2950,0.00006295,478.18
2960,0.00006317,483.10
2970,0.00006338,494.69
2980,0.00006359,498.26
2990,0.00006381,475.43
3000,0.00006402,473.62
3010,0.00006423,490.02
3020,0.00006445,479.85
3030,0.00006466,501.17
3040,0.00006487,482.44
3050,0.00006509,496.94
3060,0.00006530,480.22
3070,0.00006551,486.82
3080,0.00006573,492.55
3090,0.00006594,483.69
3100,0.00006615,467.67
3110,0.00006637,490.11
3120,0.00006658,473.49
3130,0.00006679,501.57
3140,0.00006701,470.98
3150,0.00006722,451.89
3160,0.00006743,477.51
3170,0.00006765,471.34
3180,0.00006786,458.29
3190,0.00006807,487.25
3200,0.00006829,484.12
3210,0.00006850,462.71
3220,0.00006871,464.07
3230,0.00006893,482.12
3240,0.00006914,493.80
3250,0.00006935,473.53
3260,0.00006957,438.05
3270,0.00006978,472.52
3280,0.00006999,363.31
3290,0.00007021,452.80
3300,0.00007042,470.32
3310,0.00007063,294.92
3320,0.00007085,495.05
3330,0.00007106,487.53
3340,0.00007127,480.33
3350,0.00007149,388.91
3360,0.00007170,297.91
3370,0.00007191,394.80
3380,0.00007213,429.94
3390,0.00007234,287.72
3400,0.00007255,322.85
3410,0.00007277,493.99
3420,0.00007298,363.60
3430,0.00007319,470.99
3440,0.00007341,414.50
3450,0.00007362,464.32
3460,0.00007383,270.77
3470,0.00007405,472.17
3480,0.00007426,441.29
3490,0.00007447,469.16
3500,0.00007469,491.26
3510,0.00007490,491.50
3520,0.00007511,486.83
3530,0.00007533,476.45
3540,0.00007554,498.99
3550,0.00007575,503.26
3560,0.00007597,480.80
3570,0.00007618,486.09
3580,0.00007639,473.19
3590,0.00007661,491.89
3600,0.00007682,491.62
3610,0.00007703,487.36
3620,0.00007725,497.56
3630,0.00007746,500.22
3640,0.00007767,485.08
3650,0.00007789,496.99
3660,0.00007810,487.50
3670,0.00007831,487.48
3680,0.00007853,494.49
3690,0.00007874,507.11
3700,0.00007895,495.10
3710,0.00007917,453.74
3720,0.00007938,354.98
3730,0.00007959,480.59
3740,0.00007981,500.99
3750,0.00008002,473.58
3760,0.00008023,482.23
3770,0.00008045,471.82
3780,0.00008066,235.51
3790,0.00008087,494.60
3800,0.00008109,481.27
3810,0.00008130,432.08
3820,0.00008151,432.24
3830,0.00008173,442.39
3840,0.00008194,482.04
3850,0.00008215,474.38
3860,0.00008237,495.59
3870,0.00008258,469.46
3880,0.00008279,500.72
3890,0.00008301,474.34
3900,0.00008322,464.27
3910,0.00008343,447.16
3920,0.00008365,487.94
3930,0.00008386,498.58
3940,0.00008407,482.32
3950,0.00008429,491.43
3960,0.00008450,480.73
3970,0.00008471,479.47
3980,0.00008493,500.15
3990,0.00008514,478.21
4000,0.00008535,403.30
4010,0.00008557,492.47
4020,0.00008578,484.74
4030,0.00008599,490.68
4040,0.00008621,479.62
4050,0.00008642,484.01
4060,0.00008663,470.70
4070,0.00008685,482.28
4080,0.00008706,490.76
4090,0.00008727,487.81
4100,0.00008749,495.71
4110,0.00008770,485.54
4120,0.00008791,494.23
4130,0.00008813,501.13
4140,0.00008834,490.03
4150,0.00008855,489.83
4160,0.00008877,490.70
4170,0.00008898,479.08
4180,0.00008919,494.64
4190,0.00008941,503.59
4200,0.00008962,475.78
4210,0.00008983,481.70
4220,0.00009005,496.14
4230,0.00009026,484.77
4240,0.00009047,489.46
4250,0.00009069,430.84
4260,0.00009090,476.72
4270,0.00009111,482.53
4280,0.00009133,440.60
4290,0.00009154,487.96
4300,0.00009175,472.26
4310,0.00009197,447.91
4320,0.00009218,457.34
4330,0.00009239,472.49
4340,0.00009261,441.28
4350,0.00009282,461.22
4360,0.00009303,478.34
4370,0.00009325,500.96
4380,0.00009346,485.92
4390,0.00009367,488.61
4400,0.00009389,481.49
4410,0.00009410,504.53
4420,0.00009431,500.68
4430,0.00009453,490.52
4440,0.00009474,491.48
4450,0.00009495,475.85
4460,0.00009517,487.02
4470,0.00009538,473.82
4480,0.00009559,489.48
4490,0.00009581,467.56
4500,0.00009602,461.53
4510,0.00009623,488.39
4520,0.00009645,460.70
4530,0.00009666,504.98
4540,0.00009687,484.24
4550,0.00009709,483.34
4560,0.00009730,475.37
4570,0.00009751,473.99
4580,0.00009773,497.35
4590,0.00009794,478.44
4600,0.00009815,482.52
4610,0.00009837,476.86
4620,0.00009858,487.70
4630,0.00009879,491.08
4640,0.00009901,434.43
4650,0.00009922,459.95
4660,0.00009943,486.01
4670,0.00009965,473.73
4680,0.00009986,497.08
4690,0.00010007,492.11
4700,0.00010029,472.21
4710,0.00010050,500.69
4720,0.00010071,489.07
4730,0.00010093,475.52
4740,0.00010114,487.14
4750,0.00010135,496.65
4760,0.00010157,467.90
4770,0.00010178,495.21
4780,0.00010199,481.16
4790,0.00010221,483.32
4800,0.00010242,483.14
4810,0.00010263,465.14
4820,0.00010285,451.00
4830,0.00010306,472.20
4840,0.00010327,494.99
4850,0.00010349,486.90
4860,0.00010370,505.75
4870,0.00010391,498.83
4880,0.00010413,480.39
4890,0.00010434,485.42
4900,0.00010455,492.16
4910,0.00010477,496.10
4920,0.00010498,456.52
4930,0.00010519,490.97
4940,0.00010541,491.97
4950,0.00010562,476.34
4960,0.00010583,485.53
4970,0.00010605,457.30
4980,0.00010626,486.61
4990,0.00010647,441.36
5000,0.00010669,505.09
5010,0.00010690,490.20
5020,0.00010711,486.78
5030,0.00010733,491.98
5040,0.00010754,473.95
5050,0.00010775,493.00
5060,0.00010797,491.54
